Nr;Datum;Hiragana;Katakana;Kanji;Romaji;Deutsch;Typ;Update
8;2019-05-02;れもん;レモン;;lemonn;Zitrone;Substantiv;
8;2019-05-02;すいか;;;suika;Wassermelone;Substantiv;
8;2019-05-02;めろん;メロン;;meronn;Melone;Substantiv;
8;2019-05-02;ぱいなつふる;パイナップル;;painappuru;Ananas;Substantiv;
9;2019-05-09;らーめん;;;ra-menn;Ramen;Substantiv;
9;2019-05-09;おりがみ;;;origami;Origami;Substantiv;
9;2019-05-09;する;;;suru;machen;Verb;
9;2019-05-09;なにする？;;;nanisuru;Was machen wir?;Satz;
9;2019-05-09;れいぞうこ;;;reizouko;Kühlschrank;Substantiv;
9;2019-05-09;おげんきですか。;;;ogennkidesuka;Wie geht es dir? / Wie geht es Ihnen?;Satz;
9;2019-05-09;はい、（わたしは）（とても）げんきです。;;;hai, watashiwa (totemo) gennki desu;Ja, es geht mir (sehr) gut.;Satz;
9;2019-05-09;いいえ、（わたしは）げんきではありません。;;;iee, watashiwa gennki dewa arimasenn;Nein, es geht mir nicht gut.;Satz;
9;2019-05-09;わたしは、びようきです。;;;watashiwa byouki desu;Ich bin krank.;Satz;
9;2019-05-09;おだいじに！;;;odaijini;Gute Besserung!;Satz;
9;2019-05-09;（わたしの）誕生日は,☐月☐日です。;;;(watashino tannjyoubiwa,) ☐ gatu ☐ niti desu;Mein Geburtstag ist am ☐ ☐.;Satz;2019-05-16
10;2019-05-16;これをください。;;;korewokudasai;Geben Sie mir bitte das!;Satz;
10;2019-05-16;わたしのすきないろは、☐です。;;;watashino sukina iro wa ☐ desu;Meine Lieblingsfarbe ist ☐.;Satz;
10;2019-05-16;しろ;;白;shiro;weiß;Adjektiv;
10;2019-05-16;きいろ;;黄色;kiiro;gelb;Adjektiv;
10;2019-05-16;おれんじ;オレンジ;;orennji;orange;Adjektiv;
10;2019-05-16;あか;;赤;aka;rot;Adjektiv;
10;2019-05-16;ぴんく;ピンク;;pinnku;rosa;Adjektiv;
10;2019-05-16;むらさき;;紫;murasaki;lila;Adjektiv;
10;2019-05-16;あお;;青;ao;blau;Adjektiv;
10;2019-05-16;こん;;紺;konn;nachtlbau;Adjektiv;
10;2019-05-16;みどり;;緑;midori;grün;Adjektiv;
10;2019-05-16;はいいろ;;灰色;haiiro;grau;Adjektiv;
10;2019-05-16;ちやいろ;;茶色;chyairo;braun;Adjektiv;
10;2019-05-16;べーじゆ;ベージュ;;be-jyu;beige;Adjektiv;
10;2019-05-16;くろ;;黒;kuro;schwarz;Adjektiv;
10;2019-05-16;;;一兆;ichyou;1000000000000;Zahl;
10;2019-05-16;;;十兆;jyucchyou;10000000000000;Zahl;
10;2019-05-16;;;百兆;hyakuyou;100000000000000;Zahl;
10;2019-05-16;;;千兆;sennchyou;1000000000000000;Zahl;
13;2019-06-27;やま;;山;yama;Berg;Substantiv;
13;2019-06-27;うみ;;海;umi;See;Substantiv;
13;2019-06-27;ゆき;;雪;yuki;Schnee;Substantiv;
13;2019-06-27;あめ;;雨;ame;Regen;Substantiv;
13;2019-06-27;げつようび;;月よう日;getuyoubi;Montag;Substantiv;
13;2019-06-27;かようび;;火よう日;kayoubi;Dienstag;Substantiv;
