course;number;created_at;hiragana;katakana;kanji;kana;german;pos;key;updated_at
A1.1;3;2019-03-14;;;;お<ruby><rb>菓</rb><rt>か</rt></ruby><ruby><rb>子</rb><rt>し</rt></ruby>;Süßigkeiten;名;sweets;2020-01-15
A1.1;3;2019-03-14;;;;お<ruby><rb>寿</rb><rt>す</rt></ruby><ruby><rb>司</rb><rt>し</rt></ruby>;Sushi;名;sushi;2020-01-15
A1.1;3;2019-03-14;;;;<ruby><rb>世</rb><rt>せ</rt></ruby><ruby><rb>界</rb><rt>かい</rt></ruby>;Welt;名;world;2020-01-15
A1.1;3;2019-03-14;;;;あそこ;dort drüben;副;over_there;2020-01-15
A1.1;3;2019-03-14;;;;そこ;dort;副;there;2020-01-15
A1.1;3;2019-03-14;;;;ここ;hier;副;here;2020-01-15
A1.1;4;2019-03-21;;;;<ruby><rb>十</rb><rt>じゅう</rt></ruby><ruby><rb>一</rb><rt>いち</rt></ruby>;11;数;;2020-01-15
A1.1;4;2019-03-21;;;;<ruby><rb>十</rb><rt>じゅう</rt></ruby><ruby><rb>二</rb><rt>に</rt></ruby>;12;数;;2020-01-15
A1.1;4;2019-03-21;;;;<ruby><rb>十</rb><rt>じゅう</rt></ruby><ruby><rb>三</rb><rt>さん</rt></ruby>;13;数;;2020-01-15
A1.1;4;2019-03-21;;;;<ruby><rb>十</rb><rt>じゅう</rt></ruby><ruby><rb>四</rb><rt>し</rt></ruby>・<ruby><rb>十</rb><rt>じゅう</rt></ruby><ruby><rb>四</rb><rt>よん</rt></ruby>;14;数;;2020-01-15
A1.1;4;2019-03-21;;;;<ruby><rb>十</rb><rt>じゅう</rt></ruby><ruby><rb>五</rb><rt>ご</rt></ruby>;15;数;;2020-01-15
A1.1;4;2019-03-21;;;;<ruby><rb>十</rb><rt>じゅう</rt></ruby><ruby><rb>六</rb><rt>ろく</rt></ruby>;16;数;;2020-01-15
A1.1;4;2019-03-21;;;;<ruby><rb>十</rb><rt>じゅう</rt></ruby><ruby><rb>七</rb><rt>なな</rt></ruby>・<ruby><rb>十</rb><rt>じゅう</rt></ruby><ruby><rb>七</rb><rt>しち</rt></ruby>;17;数;;2020-01-15
A1.1;4;2019-03-21;;;;<ruby><rb>十</rb><rt>じゅう</rt></ruby><ruby><rb>八</rb><rt>はち</rt></ruby>;18;数;;2020-01-15
A1.1;4;2019-03-21;;;;<ruby><rb>十</rb><rt>じゅう</rt></ruby><ruby><rb>九</rb><rt>きゅう</rt></ruby>;19;数;;2020-01-15
A1.1;4;2019-03-21;;;;<ruby><rb>二</rb><rt>に</rt></ruby><ruby><rb>十</rb><rt>じゅう</rt></ruby>;20;数;;2020-01-15
A1.1;4;2019-03-21;;;;<ruby><rb>下</rb><rt>した</rt></ruby>;unten;副;;2020-01-15
A1.1;4;2019-03-21;;;;<ruby><rb>血</rb><rt>ち</rt></ruby>;Blut;名;blood;2020-01-15
A1.1;4;2019-03-21;;;;<ruby><rb>机</rb><rt>つけい</rt></ruby>;Schreibtisch;名;desk;2020-01-15
A1.1;4;2019-03-21;;;;<ruby><rb>椅</rb><rt>い</rt></ruby><ruby><rb>子</rb><rt>す</rt></ruby>;Stuhl;名;chair;2020-01-15
A1.1;4;2019-03-21;;;;<ruby><rb>手</rb><rt>て</rt></ruby>;Hand;名;hand;2020-01-15
A1.1;4;2019-03-21;;;;<ruby><rb>足</rb><rt>あし</rt></ruby>;Fuß;名;foot;2020-01-15
A1.1;4;2019-03-21;;;;<ruby><rb>時計</rb><rt>とけい</rt></ruby>;Uhr;名;clock;2020-01-15
